Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
gm. Łubianka,toruński,kujawsko-pomorskie,57,290,1462,685,4,131,6,5,951,3,8
gm. Łysomice,toruński,kujawsko-pomorskie,99,378,1743,872,6,107,2,9,1752,7,10
gm. Obrowo,toruński,kujawsko-pomorskie,204,610,3281,1535,18,256,7,16,2797,9,20
gm. Wielka Nieszawka,toruński,kujawsko-pomorskie,68,180,806,442,2,55,2,8,991,2,2
gm. Zławieś Wielka,toruński,kujawsko-pomorskie,181,491,2367,1135,9,180,4,7,2352,3,8
gm. Cekcyn,tucholski,kujawsko-pomorskie,57,201,1627,639,8,77,1,5,697,5,2
gm. Gostycyn,tucholski,kujawsko-pomorskie,41,169,1163,339,0,62,2,2,470,3,5
gm. Kęsowo,tucholski,kujawsko-pomorskie,25,116,1100,301,1,45,0,7,393,0,2
gm. Lubiewo,tucholski,kujawsko-pomorskie,40,215,1511,431,6,104,1,1,554,3,8
gm. Śliwice,tucholski,kujawsko-pomorskie,46,166,1576,407,3,78,7,6,590,3,5
gm. Tuchola,tucholski,kujawsko-pomorskie,194,607,4224,1341,20,244,13,7,2791,14,23
m. Wąbrzeźno,wąbrzeski,kujawsko-pomorskie,129,382,2024,762,7,129,5,9,2455,11,18
gm. Dębowa Łąka,wąbrzeski,kujawsko-pomorskie,18,118,680,142,4,55,1,2,250,3,5
gm. Książki,wąbrzeski,kujawsko-pomorskie,30,135,892,190,2,66,1,2,426,0,6
gm. Płużnica,wąbrzeski,kujawsko-pomorskie,32,125,957,226,3,80,0,4,505,2,6
gm. Ryńsk,wąbrzeski,kujawsko-pomorskie,57,281,1701,476,5,145,7,5,810,4,11
m. Kowal,włocławski,kujawsko-pomorskie,33,102,726,284,2,36,1,2,534,1,7
gm. Baruchowo,włocławski,kujawsko-pomorskie,27,92,870,216,6,68,2,1,348,1,3
gm. Boniewo,włocławski,kujawsko-pomorskie,26,74,931,180,3,93,3,5,306,2,3
gm. Brześć Kujawski,włocławski,kujawsko-pomorskie,134,296,2219,723,6,115,4,7,1501,5,10
gm. Choceń,włocławski,kujawsko-pomorskie,63,183,1745,332,6,140,5,2,780,4,9
gm. Chodecz,włocławski,kujawsko-pomorskie,47,116,1327,267,2,68,0,9,587,2,3
gm. Fabianki,włocławski,kujawsko-pomorskie,110,208,1678,708,7,200,4,4,1544,4,2
gm. Izbica Kujawska,włocławski,kujawsko-pomorskie,38,141,2141,293,0,126,3,1,520,1,5
gm. Kowal,włocławski,kujawsko-pomorskie,31,59,1045,204,4,52,1,3,364,1,4
gm. Lubanie,włocławski,kujawsko-pomorskie,45,126,1296,229,3,53,4,4,468,0,2
gm. Lubień Kujawski,włocławski,kujawsko-pomorskie,62,141,1849,283,5,119,0,2,510,3,6
gm. Lubraniec,włocławski,kujawsko-pomorskie,47,147,2404,485,3,150,1,7,1034,7,13
gm. Włocławek,włocławski,kujawsko-pomorskie,74,182,1590,501,3,119,2,6,1072,2,1
gm. Barcin,żniński,kujawsko-pomorskie,126,379,2331,1385,9,171,6,9,2170,7,11
gm. Gąsawa,żniński,kujawsko-pomorskie,37,118,1244,382,2,86,8,0,572,3,0
gm. Janowiec Wielkopolski,żniński,kujawsko-pomorskie,71,203,1903,574,6,168,6,4,1038,7,11
gm. Łabiszyn,żniński,kujawsko-pomorskie,101,296,1993,842,2,106,4,9,1150,3,7
gm. Rogowo,żniński,kujawsko-pomorskie,55,178,1623,454,7,145,4,1,820,2,5
gm. Żnin,żniński,kujawsko-pomorskie,227,683,5131,1504,14,312,17,12,3127,14,34
m. Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,4776,9768,53669,29368,215,2955,159,273,70006,241,433
m. Grudziądz,Grudziądz,kujawsko-pomorskie,1130,2443,14031,5887,40,798,41,51,15538,48,88
m. Toruń,Toruń,kujawsko-pomorskie,2940,6619,31228,15439,129,1685,96,145,42726,132,235
m. Włocławek,Włocławek,kujawsko-pomorskie,1447,2485,17353,7047,71,742,46,72,21388,62,113
m. Międzyrzec Podlaski,bialski,lubelskie,113,687,4769,885,28,219,27,17,1612,7,31
m. Terespol,bialski,lubelskie,53,203,1417,356,7,50,4,0,723,1,10
gm. Biała Podlaska,bialski,lubelskie,115,618,3876,1073,19,262,17,9,1232,11,23
gm. Drelów,bialski,lubelskie,35,218,1561,206,3,97,6,2,233,3,5
gm. Janów Podlaski,bialski,lubelskie,18,182,1344,317,9,96,6,3,394,4,4
gm. Kodeń,bialski,lubelskie,24,143,1119,257,0,69,4,5,312,5,4
gm. Konstantynów,bialski,lubelskie,19,149,1113,209,7,73,1,7,257,4,8
gm. Leśna Podlaska,bialski,lubelskie,21,162,1320,243,4,62,3,2,228,1,6
gm. Łomazy,bialski,lubelskie,32,228,1555,269,4,102,3,3,282,1,10
gm. Międzyrzec Podlaski,bialski,lubelskie,58,447,3638,351,12,173,8,1,420,6,14
gm. Piszczac,bialski,lubelskie,39,250,2144,333,3,77,0,7,392,2,17
gm. Rokitno,bialski,lubelskie,16,101,829,156,3,71,0,9,151,0,7
gm. Rossosz,bialski,lubelskie,9,113,775,121,1,64,2,0,150,0,4
gm. Sławatycze,bialski,lubelskie,13,79,653,126,2,47,0,0,209,0,3
gm. Sosnówka,bialski,lubelskie,17,75,617,148,1,73,3,2,140,1,3
gm. Terespol,bialski,lubelskie,48,261,1941,342,2,80,5,4,451,3,9
gm. Tuczna,bialski,lubelskie,15,101,873,119,3,49,0,3,152,0,2
gm. Wisznice,bialski,lubelskie,20,188,1345,336,3,124,4,3,373,2,4
gm. Zalesie,bialski,lubelskie,16,150,1247,222,2,77,3,2,298,1,5
m. Biłgoraj,biłgorajski,lubelskie,231,1256,6579,1524,31,354,28,20,3092,18,44
gm. Aleksandrów,biłgorajski,lubelskie,18,149,1139,99,2,53,0,1,105,2,1
gm. Biłgoraj,biłgorajski,lubelskie,71,657,4410,468,15,281,10,6,599,2,13
gm. Biszcza,biłgorajski,lubelskie,20,163,1297,95,4,87,3,2,127,0,6
gm. Frampol,biłgorajski,lubelskie,33,300,2009,187,10,114,5,8,273,2,13
gm. Goraj,biłgorajski,lubelskie,18,197,1460,119,6,60,6,3,102,0,5
gm. Józefów,biłgorajski,lubelskie,56,281,1833,235,4,114,3,7,529,3,10
gm. Księżpol,biłgorajski,lubelskie,31,354,2391,259,2,100,3,5,261,3,3
gm. Łukowa,biłgorajski,lubelskie,29,189,1544,104,4,66,1,1,164,0,3
gm. Obsza,biłgorajski,lubelskie,14,219,1535,95,5,70,2,1,136,2,4
gm. Potok Górny,biłgorajski,lubelskie,24,261,2101,123,5,99,1,3,132,0,3
gm. Tarnogród,biłgorajski,lubelskie,42,287,2240,263,5,127,15,4,371,0,8
gm. Tereszpol,biłgorajski,lubelskie,20,165,1189,136,3,83,8,2,234,1,4
gm. Turobin,biłgorajski,lubelskie,41,228,2600,128,1,112,5,7,237,1,9
m. Rejowiec Fabryczny,chełmski,lubelskie,26,131,1088,243,5,55,1,1,389,2,6
gm. Białopole,chełmski,lubelskie,14,78,817,63,2,56,1,2,138,0,1
gm. Chełm,chełmski,lubelskie,95,577,3738,853,18,217,23,10,1232,5,15
gm. Dorohusk,chełmski,lubelskie,36,196,1923,247,5,68,5,3,355,4,8
gm. Dubienka,chełmski,lubelskie,8,77,595,110,3,62,3,0,195,3,3
gm. Kamień,chełmski,lubelskie,19,172,1122,210,9,62,1,4,240,1,3
gm. Leśniowice,chełmski,lubelskie,21,85,880,147,2,107,3,2,223,2,2
gm. Rejowiec Fabryczny,chełmski,lubelskie,23,91,1340,134,2,47,3,0,204,1,5
gm. Ruda-Huta,chełmski,lubelskie,24,117,1164,204,5,71,2,2,285,6,5
gm. Sawin,chełmski,lubelskie,31,155,1463,306,1,79,6,3,332,3,10
gm. Siedliszcze,chełmski,lubelskie,33,184,1884,237,5,78,5,3,335,1,9
gm. Wierzbica,chełmski,lubelskie,27,156,1568,177,2,53,8,2,233,0,4
gm. Wojsławice,chełmski,lubelskie,17,111,1213,113,0,49,4,1,158,3,2
gm. Żmudź,chełmski,lubelskie,15,86,816,115,1,61,7,2,182,2,5
gm. Rejowiec,chełmski,lubelskie,38,206,1587,315,4,46,7,4,401,0,3
m. Hrubieszów,hrubieszowski,lubelskie,140,524,4198,1020,12,192,20,7,2263,7,24
gm. Dołhobyczów,hrubieszowski,lubelskie,17,121,1483,172,8,159,5,1,209,2,2
gm. Horodło,hrubieszowski,lubelskie,20,131,1374,188,6,73,3,0,269,1,1
gm. Hrubieszów,hrubieszowski,lubelskie,36,253,2933,424,7,157,5,4,509,2,7
gm. Mircze,hrubieszowski,lubelskie,36,188,2026,299,7,193,9,7,376,3,7
gm. Trzeszczany,hrubieszowski,lubelskie,29,103,1287,138,3,42,3,1,214,1,3
gm. Uchanie,hrubieszowski,lubelskie,16,121,1596,117,2,61,6,0,195,0,5
gm. Werbkowice,hrubieszowski,lubelskie,41,312,2862,379,8,125,8,0,504,0,7
gm. Batorz,janowski,lubelskie,11,134,1427,54,3,82,3,1,72,0,6
gm. Chrzanów,janowski,lubelskie,8,115,1495,50,1,33,3,0,34,0,1
gm. Dzwola,janowski,lubelskie,18,239,2815,93,6,72,33,1,90,1,2
gm. Godziszów,janowski,lubelskie,19,241,3021,92,9,62,13,2,56,1,7
gm. Janów Lubelski,janowski,lubelskie,132,625,5376,688,15,192,46,7,1201,3,15
gm. Modliborzyce,janowski,lubelskie,39,230,2412,217,6,98,7,3,299,4,4
gm. Potok Wielki,janowski,lubelskie,32,150,1680,116,2,49,11,2,194,2,4
m. Krasnystaw,krasnostawski,lubelskie,200,716,4299,938,19,284,20,8,2502,14,32
gm. Fajsławice,krasnostawski,lubelskie,26,189,1664,224,4,92,10,2,226,3,5
gm. Gorzków,krasnostawski,lubelskie,25,117,1105,88,2,96,7,4,216,1,10
gm. Izbica,krasnostawski,lubelskie,62,299,2453,288,7,121,8,4,495,2,11
gm. Krasnystaw,krasnostawski,lubelskie,70,314,2393,325,6,157,4,1,660,3,6
gm. Kraśniczyn,krasnostawski,lubelskie,43,109,1106,136,4,83,14,2,248,5,7
gm. Łopiennik Górny,krasnostawski,lubelskie,20,130,1296,143,2,37,1,1,194,2,1
gm. Rudnik,krasnostawski,lubelskie,15,81,961,100,1,77,4,0,132,0,5
gm. Siennica Różana,krasnostawski,lubelskie,37,127,983,173,4,159,1,4,377,1,5
gm. Żółkiewka,krasnostawski,lubelskie,35,153,1778,119,0,108,8,1,234,0,5
m. Kraśnik,kraśnicki,lubelskie,379,1129,8788,1853,32,332,27,18,3937,10,44
gm. Annopol,kraśnicki,lubelskie,51,207,2907,323,4,170,1,4,489,2,5
gm. Dzierzkowice,kraśnicki,lubelskie,38,200,1754,232,8,132,8,4,261,3,5
gm. Gościeradów,kraśnicki,lubelskie,40,212,2291,200,3,153,3,4,339,1,5
gm. Kraśnik,kraśnicki,lubelskie,59,315,2210,287,10,138,7,1,423,6,3
gm. Szastarka,kraśnicki,lubelskie,25,137,2333,136,5,109,5,8,170,2,1
gm. Trzydnik Duży,kraśnicki,lubelskie,64,198,2010,236,7,128,1,3,335,0,8
gm. Urzędów,kraśnicki,lubelskie,48,331,2912,323,7,234,13,5,428,0,9
gm. Wilkołaz,kraśnicki,lubelskie,32,267,2065,208,11,86,13,6,213,1,14
gm. Zakrzówek,kraśnicki,lubelskie,29,333,2222,174,6,127,5,2,281,0,5
m. Lubartów,lubartowski,lubelskie,216,942,5502,1442,26,323,21,19,2945,8,32
gm. Abramów,lubartowski,lubelskie,24,215,1553,117,2,76,7,2,89,0,5
gm. Firlej,lubartowski,lubelskie,39,229,1763,210,6,109,0,5,340,2,11
gm. Jeziorzany,lubartowski,lubelskie,17,99,932,75,4,40,0,3,110,1,1
gm. Kamionka,lubartowski,lubelskie,52,315,1828,287,16,127,5,6,451,1,9
gm. Kock,lubartowski,lubelskie,25,203,2161,211,5,84,7,7,301,3,8
gm. Lubartów,lubartowski,lubelskie,73,595,3447,710,8,189,14,9,885,7,15
gm. Michów,lubartowski,lubelskie,32,239,2009,165,5,126,5,4,264,1,8
gm. Niedźwiada,lubartowski,lubelskie,47,247,2253,247,6,99,9,4,222,1,5
gm. Ostrów Lubelski,lubartowski,lubelskie,31,242,1752,242,3,134,2,5,261,2,3
gm. Ostrówek,lubartowski,lubelskie,13,157,1330,115,5,91,0,3,146,3,0
gm. Serniki,lubartowski,lubelskie,22,249,1805,223,3,72,7,7,193,4,6
gm. Uścimów,lubartowski,lubelskie,20,128,1045,124,4,59,3,2,212,0,2
gm. Bełżyce,lubelski,lubelskie,78,606,4103,608,11,287,13,10,889,3,21
gm. Borzechów,lubelski,lubelskie,7,173,1466,137,3,113,1,0,131,2,4
gm. Bychawa,lubelski,lubelskie,89,467,3701,528,16,241,7,1,666,4,10
gm. Garbów,lubelski,lubelskie,80,490,2842,441,10,167,1,7,592,3,7
gm. Głusk,lubelski,lubelskie,92,579,3025,851,16,190,8,11,1403,9,25
gm. Jabłonna,lubelski,lubelskie,55,368,2356,363,9,127,3,16,530,3,10
gm. Jastków,lubelski,lubelskie,120,650,4173,854,20,198,16,8,1629,4,18
gm. Konopnica,lubelski,lubelskie,125,775,3327,956,26,370,21,16,2102,8,22
gm. Krzczonów,lubelski,lubelskie,23,171,1497,161,6,128,2,6,258,0,6
gm. Niedrzwica Duża,lubelski,lubelskie,77,618,3545,684,12,217,4,6,865,3,18
gm. Niemce,lubelski,lubelskie,185,1014,5455,1234,29,331,24,13,2127,11,29
gm. Strzyżewice,lubelski,lubelskie,59,382,2286,368,11,203,8,12,503,2,11
gm. Wojciechów,lubelski,lubelskie,37,213,1903,264,5,99,5,4,401,6,8
gm. Wólka,lubelski,lubelskie,115,678,3171,831,16,180,27,14,1315,6,20
gm. Wysokie,lubelski,lubelskie,15,133,1660,99,5,145,4,2,193,1,1
gm. Zakrzew,lubelski,lubelskie,12,76,1112,47,3,62,1,0,64,1,2
gm. Cyców,łęczyński,lubelskie,44,369,2391,243,6,102,5,2,410,2,7
gm. Ludwin,łęczyński,lubelskie,31,276,1569,321,5,85,8,5,395,3,6
gm. Łęczna,łęczyński,lubelskie,156,1363,6331,1261,18,295,29,12,2249,15,21
gm. Milejów,łęczyński,lubelskie,38,321,2582,424,6,115,8,7,539,5,16
gm. Puchaczów,łęczyński,lubelskie,28,322,1792,278,7,111,1,4,314,4,3
gm. Spiczyn,łęczyński,lubelskie,22,292,1454,362,6,61,4,4,423,0,8
m. Łuków,łukowski,lubelskie,206,1247,8213,2000,37,342,54,8,3142,10,42
m. Stoczek Łukowski,łukowski,lubelskie,15,65,835,139,2,37,1,2,282,1,4
gm. Adamów,łukowski,lubelskie,23,166,1780,261,4,71,2,6,305,1,2
gm. Krzywda,łukowski,lubelskie,43,398,3351,351,10,119,8,3,412,0,6
gm. Łuków,łukowski,lubelskie,93,867,6307,773,21,210,16,16,732,8,25
gm. Serokomla,łukowski,lubelskie,24,149,1365,103,1,45,1,2,130,0,5
gm. Stanin,łukowski,lubelskie,32,440,3380,279,10,240,3,6,339,3,4
gm. Stoczek Łukowski,łukowski,lubelskie,23,218,3076,226,4,115,5,3,257,2,9
gm. Trzebieszów,łukowski,lubelskie,20,319,3233,231,2,81,9,2,186,1,7
gm. Wojcieszków,łukowski,lubelskie,17,243,2433,194,9,81,4,4,229,2,7
gm. Wola Mysłowska,łukowski,lubelskie,15,176,1857,166,2,88,4,7,174,2,3
gm. Chodel,opolski,lubelskie,25,243,2245,196,5,101,5,5,254,0,5
gm. Józefów nad Wisłą,opolski,lubelskie,43,240,2022,193,5,130,4,3,368,1,5
gm. Karczmiska,opolski,lubelskie,31,206,1510,261,4,153,3,2,296,0,7
gm. Łaziska,opolski,lubelskie,36,157,1548,145,2,158,3,0,230,2,10
gm. Opole Lubelskie,opolski,lubelskie,157,621,4986,828,22,264,11,10,1541,8,14
gm. Poniatowa,opolski,lubelskie,96,469,4173,853,11,221,8,11,1240,5,13
gm. Wilków,opolski,lubelskie,17,156,1623,119,4,120,1,4,198,1,7
gm. Dębowa Kłoda,parczewski,lubelskie,21,144,1070,184,2,69,3,3,276,1,0
gm. Jabłoń,parczewski,lubelskie,31,184,1229,162,3,72,6,6,173,1,7
gm. Milanów,parczewski,lubelskie,27,177,1103,177,7,81,9,5,179,2,2
gm. Parczew,parczewski,lubelskie,99,484,3701,923,12,287,11,20,1468,8,14
gm. Podedwórze,parczewski,lubelskie,10,88,497,83,0,33,2,1,92,0,3
gm. Siemień,parczewski,lubelskie,21,185,1436,171,5,72,3,3,230,2,3
gm. Sosnowica,parczewski,lubelskie,15,79,696,136,2,39,2,2,183,1,1
m. Puławy,puławski,lubelskie,578,1772,11021,3083,57,533,48,34,7509,39,66
gm. Baranów,puławski,lubelskie,39,170,1277,162,1,80,1,2,233,3,5
gm. Janowiec,puławski,lubelskie,21,139,1088,209,5,53,6,2,393,0,4
gm. Kazimierz Dolny,puławski,lubelskie,63,277,1977,345,12,78,2,9,900,2,6
gm. Końskowola,puławski,lubelskie,74,434,2745,524,12,166,8,5,686,9,13
gm. Kurów,puławski,lubelskie,73,340,2357,307,9,115,13,5,599,2,14
gm. Markuszów,puławski,lubelskie,23,173,1000,136,6,44,1,1,183,2,3
gm. Nałęczów,puławski,lubelskie,82,431,2849,474,11,133,20,7,1097,6,13
gm. Puławy,puławski,lubelskie,99,504,3509,793,17,163,9,10,1069,13,13
gm. Wąwolnica,puławski,lubelskie,31,213,1535,164,2,60,9,4,261,6,6
gm. Żyrzyn,puławski,lubelskie,64,307,2253,276,8,105,4,5,362,2,4
m. Radzyń Podlaski,radzyński,lubelskie,136,601,4121,1235,17,194,18,14,1515,5,26
gm. Borki,radzyński,lubelskie,34,199,1842,195,7,132,10,5,284,0,3
gm. Czemierniki,radzyński,lubelskie,31,181,1487,219,4,108,5,1,280,2,4
gm. Kąkolewnica,radzyński,lubelskie,29,287,2977,299,11,74,4,5,271,0,11
gm. Komarówka Podlaska,radzyński,lubelskie,23,235,1293,205,3,84,9,3,242,6,4
gm. Radzyń Podlaski,radzyński,lubelskie,40,317,2547,432,6,99,6,3,401,2,7
gm. Ulan-Majorat,radzyński,lubelskie,14,249,2177,166,6,76,7,4,210,1,7
gm. Wohyń,radzyński,lubelskie,28,226,2022,279,3,106,5,4,364,0,8
m. Dęblin,rycki,lubelskie,168,510,4012,1162,15,178,14,16,2022,12,16
gm. Kłoczew,rycki,lubelskie,40,238,2843,239,5,102,10,1,206,4,5
gm. Nowodwór,rycki,lubelskie,34,151,1553,136,1,58,2,1,132,2,2
gm. Ryki,rycki,lubelskie,166,743,6278,1255,22,315,17,9,1804,14,22
gm. Stężyca,rycki,lubelskie,46,134,1807,238,2,104,3,2,360,3,6
gm. Ułęż,rycki,lubelskie,26,109,1024,161,3,75,4,2,218,0,8
m. Świdnik,świdnicki,lubelskie,451,1580,9821,2399,44,358,51,30,5186,25,51
gm. Mełgiew,świdnicki,lubelskie,75,431,2859,540,8,131,8,12,934,7,12
gm. Piaski,świdnicki,lubelskie,73,356,3138,513,8,310,6,1,766,4,9
gm. Rybczewice,świdnicki,lubelskie,9,128,1218,90,2,68,2,0,139,0,4
gm. Trawniki,świdnicki,lubelskie,55,327,2598,374,5,86,4,5,504,5,6
m. Tomaszów Lubelski,tomaszowski,lubelskie,128,777,4921,961,26,296,23,17,2427,7,27
gm. Bełżec,tomaszowski,lubelskie,12,124,914,135,0,68,3,2,211,1,2
gm. Jarczów,tomaszowski,lubelskie,14,113,1164,68,4,78,3,3,121,0,1
gm. Krynice,tomaszowski,lubelskie,21,91,1104,118,1,70,7,4,163,1,1
gm. Lubycza Królewska,tomaszowski,lubelskie,41,221,1477,247,10,92,1,5,350,1,10
gm. Łaszczów,tomaszowski,lubelskie,35,178,1915,184,1,133,2,5,338,1,3
gm. Rachanie,tomaszowski,lubelskie,21,183,1736,131,7,71,3,2,206,0,3
gm. Susiec,tomaszowski,lubelskie,32,252,2358,265,6,162,4,1,420,2,3
gm. Tarnawatka,tomaszowski,lubelskie,16,168,1346,94,1,49,2,3,139,2,2
gm. Telatyn,tomaszowski,lubelskie,24,150,1200,104,1,99,1,4,154,1,4
gm. Tomaszów Lubelski,tomaszowski,lubelskie,55,467,3599,393,13,190,5,7,630,2,16
gm. Tyszowce,tomaszowski,lubelskie,22,165,1861,202,5,103,2,1,226,1,5
gm. Ulhówek,tomaszowski,lubelskie,13,143,1367,94,2,87,2,3,157,0,4
m. Włodawa,włodawski,lubelskie,173,350,2790,1121,13,185,8,6,1839,8,18
gm. Hanna,włodawski,lubelskie,13,121,801,146,4,66,6,1,167,2,3
gm. Hańsk,włodawski,lubelskie,29,120,932,191,1,109,5,3,235,2,3
gm. Stary Brus,włodawski,lubelskie,13,54,716,74,0,42,1,0,138,1,2
gm. Urszulin,włodawski,lubelskie,17,188,1352,186,6,102,4,4,324,1,4
gm. Włodawa,włodawski,lubelskie,63,205,1486,481,10,121,8,2,632,2,6
gm. Wola Uhruska,włodawski,lubelskie,21,143,1026,192,7,74,2,3,327,1,3
gm. Wyryki,włodawski,lubelskie,15,99,691,127,2,61,3,2,154,3,1
gm. Adamów,zamojski,lubelskie,36,165,1673,195,6,72,0,2,250,1,3
gm. Grabowiec,zamojski,lubelskie,9,96,1390,130,3,61,2,4,166,0,2
gm. Komarów-Osada,zamojski,lubelskie,25,164,1655,173,5,214,5,1,259,2,5
gm. Krasnobród,zamojski,lubelskie,33,246,2757,236,6,119,10,4,337,5,10
gm. Łabunie,zamojski,lubelskie,36,249,2216,268,8,75,2,1,268,3,8
gm. Miączyn,zamojski,lubelskie,27,165,1764,199,3,113,2,1,243,3,4
gm. Nielisz,zamojski,lubelskie,24,122,1796,206,2,94,3,8,253,0,4
gm. Radecznica,zamojski,lubelskie,28,245,2059,114,3,99,8,2,196,2,2
gm. Sitno,zamojski,lubelskie,41,253,2268,257,11,71,6,4,261,0,9
gm. Skierbieszów,zamojski,lubelskie,25,168,1831,138,6,55,3,2,241,0,7
gm. Stary Zamość,zamojski,lubelskie,23,196,1741,181,5,91,5,5,332,3,6
gm. Sułów,zamojski,lubelskie,26,158,1461,166,5,76,5,1,181,1,6
gm. Szczebrzeszyn,zamojski,lubelskie,49,364,3380,416,11,155,15,6,679,1,10
gm. Zamość,zamojski,lubelskie,164,1099,6563,1254,29,358,36,23,2122,8,29
gm. Zwierzyniec,zamojski,lubelskie,55,211,1770,323,7,127,5,7,770,2,3
m. Biała Podlaska,Biała Podlaska,lubelskie,601,2221,13308,4269,64,665,55,42,7083,26,73
m. Chełm,Chełm,lubelskie,655,2089,13348,3799,58,639,67,54,8723,35,60
m. Lublin,Lublin,lubelskie,4263,14413,71730,22346,335,3836,526,274,57134,295,533
m. Zamość,Zamość,lubelskie,600,2254,14574,3625,60,696,54,33,8334,33,68
m. Kostrzyn nad Odrą,gorzowski,lubuskie,236,597,2421,1515,13,135,6,21,3588,9,11
gm. Bogdaniec,gorzowski,lubuskie,66,190,1254,525,7,67,3,5,1165,4,7
gm. Deszczno,gorzowski,lubuskie,116,326,1763,706,9,94,0,9,1642,7,12
gm. Kłodawa,gorzowski,lubuskie,104,286,1234,727,12,98,2,6,2053,13,5
gm. Lubiszyn,gorzowski,lubuskie,59,190,1156,456,5,85,4,4,982,3,6
gm. Santok,gorzowski,lubuskie,70,276,1370,681,10,83,2,12,1562,5,8
gm. Witnica,gorzowski,lubuskie,126,431,2064,971,4,121,5,13,1720,5,13
m. Gubin,krośnieński,lubuskie,168,394,1908,2018,8,125,7,16,2872,7,16
gm. Bobrowice,krośnieński,lubuskie,21,113,544,311,2,36,1,1,406,0,1
gm. Bytnica,krośnieński,lubuskie,16,41,451,234,0,30,0,0,277,0,1
gm. Dąbie,krośnieński,lubuskie,36,149,946,494,3,40,2,1,562,1,3
gm. Gubin,krośnieński,lubuskie,50,164,1176,793,4,83,3,4,810,3,8
gm. Krosno Odrzańskie,krośnieński,lubuskie,172,435,2752,1554,10,173,0,11,2995,3,13
gm. Maszewo,krośnieński,lubuskie,17,57,584,279,0,17,1,0,290,1,0
gm. Bledzew,międzyrzecki,lubuskie,47,98,828,313,2,54,2,6,619,0,4
gm. Międzyrzecz,międzyrzecki,lubuskie,277,699,3918,2295,17,261,6,11,4664,16,24
gm. Przytoczna,międzyrzecki,lubuskie,51,154,907,516,3,82,2,6,780,1,6
gm. Pszczew,międzyrzecki,lubuskie,27,136,882,430,5,57,2,1,609,8,6
gm. Skwierzyna,międzyrzecki,lubuskie,116,286,1988,1034,9,124,2,16,2101,9,9
gm. Trzciel,międzyrzecki,lubuskie,48,150,1122,532,5,118,2,2,944,4,7
m. Nowa Sól,nowosolski,lubuskie,312,895,6240,3723,19,312,17,18,6630,17,27
gm. Bytom Odrzański,nowosolski,lubuskie,43,128,866,489,6,59,2,1,801,2,5
gm. Kolsko,nowosolski,lubuskie,16,111,712,271,3,32,1,2,429,0,4
gm. Kożuchów,nowosolski,lubuskie,110,367,2734,1279,6,135,5,8,2249,3,23
gm. Nowa Sól,nowosolski,lubuskie,46,159,1361,710,2,84,0,3,929,3,6
gm. Nowe Miasteczko,nowosolski,lubuskie,50,107,1049,423,2,62,3,4,557,4,0
gm. Otyń,nowosolski,lubuskie,41,207,1318,716,8,61,3,8,1053,6,3
gm. Siedlisko,nowosolski,lubuskie,12,50,754,341,1,41,0,1,315,1,2
gm. Cybinka,słubicki,lubuskie,48,157,1136,508,2,93,4,3,762,8,4
gm. Górzyca,słubicki,lubuskie,34,170,761,324,3,34,0,6,504,3,1
gm. Ośno Lubuskie,słubicki,lubuskie,53,180,969,487,6,64,5,9,1014,4,3
gm. Rzepin,słubicki,lubuskie,109,256,1563,744,7,81,2,3,1474,6,4
gm. Słubice,słubicki,lubuskie,229,563,2441,1721,7,153,5,13,4209,10,13
gm. Dobiegniew,strzelecko-drezdenecki,lubuskie,68,153,1227,398,4,75,3,5,904,2,3
gm. Drezdenko,strzelecko-drezdenecki,lubuskie,135,497,3068,1225,18,198,5,12,2510,7,20
gm. Stare Kurowo,strzelecko-drezdenecki,lubuskie,28,82,729,245,0,50,1,2,517,4,0
gm. Strzelce Krajeńskie,strzelecko-drezdenecki,lubuskie,149,334,2573,1450,7,199,1,12,2847,8,16
gm. Zwierzyn,strzelecko-drezdenecki,lubuskie,31,81,793,361,1,41,2,4,494,4,5
gm. Krzeszyce,sulęciński,lubuskie,33,176,861,285,5,119,1,4,654,2,3
gm. Lubniewice,sulęciński,lubuskie,26,79,531,269,3,39,1,5,535,4,2
gm. Słońsk,sulęciński,lubuskie,39,169,918,382,7,54,0,3,655,0,1
gm. Sulęcin,sulęciński,lubuskie,145,493,2965,1119,6,138,11,14,2297,9,13
gm. Torzym,sulęciński,lubuskie,61,156,1017,464,3,56,3,8,969,4,7
gm. Lubrza,świebodziński,lubuskie,31,125,621,294,5,35,0,1,606,2,3
gm. Łagów,świebodziński,lubuskie,53,201,878,342,7,53,1,6,845,3,6
gm. Skąpe,świebodziński,lubuskie,60,158,866,424,3,70,4,2,805,2,4
gm. Szczaniec,świebodziński,lubuskie,36,102,813,270,3,53,0,2,463,1,2
gm. Świebodzin,świebodziński,lubuskie,303,975,4766,2359,30,312,16,18,5026,19,28
gm. Zbąszynek,świebodziński,lubuskie,79,244,1276,1060,7,103,2,5,1322,7,11
gm. Babimost,zielonogórski,lubuskie,65,217,1011,576,6,66,2,6,1002,7,5
